キャラ名	追加日	音声データ提供者名	キャラクターサイトURL	イラスト著者名	イラストURL	ダウンロードURL
想音いくる	2013/11/20	P名いつかほしいP/迂歪菜	http://utauomoine8.jimdo.com/	ゆ鳥 さん	http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/omoine_ikuru_htsvoice.png	https://www.dropbox.com/s/lhjwmh6tosmv7tm/%E6%83%B3%E9%9F%B3%E3%81%84%E3%81%8F%E3%82%8B_1.0.zip?dl=1
想音いくと	2013/11/21	P名いつかほしいP/迂歪菜	http://utauomoine8.jimdo.com/	ゆ鳥 さん	http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/omoine_ikuto_htsvoice.png	https://www.dropbox.com/s/5yrh8j4gaqmbn89/%E6%83%B3%E9%9F%B3%E3%81%84%E3%81%8F%E3%81%A8_1.0.zip?dl=1
京歌カオル	2013/11/20	ななかお(kei)	http://yukigarashiro.blog.fc2.com/		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/keika_kaoru_htsvoice.png	https://www.dropbox.com/s/x1f7bldwjrmzton/%E4%BA%AC%E6%AD%8C%E3%82%AB%E3%82%AA%E3%83%AB_1.0.zip?dl=1
20代男性01	2013/11/25	武人			http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/dummy.png	https://www.dropbox.com/s/vsrsxx0h368ru2m/20%E4%BB%A3%E7%94%B7%E6%80%A701_1.0.zip?dl=1
なないろニジ	2013/11/26	ゆ鳥	http://niji.ken-shin.net/		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/nanaironiji_htsvoice.png	https://www.dropbox.com/s/rb4t4x1p8x7182r/%E3%81%AA%E3%81%AA%E3%81%84%E3%82%8D%E3%83%8B%E3%82%B8_1.0.zip?dl=1
遠藤愛	2013/11/27	町田子	https://sites.google.com/site/lovemendel/		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/endou_mederu_htsvoice.png	https://www.dropbox.com/s/aibhqzakxv6a7iw/%E9%81%A0%E8%97%A4%E6%84%9B_1.0.zip?dl=1
遊音一莉	2013/11/28	遊月	http://www.pixiv.net/member_illust.php?mode=medium&illust_id=29766179		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/asobune_hitori_htsvoice.png	https://www.dropbox.com/s/0afvd64suh51e9g/%E9%81%8A%E9%9F%B3%E4%B8%80%E8%8E%89_1.0.zip?dl=1
スランキ	2013/11/29	机	http://desk17desk.web.fc2.com/		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/suranki_htsvoice.png	https://www.dropbox.com/s/letu9qbtspuqa68/%E3%82%B9%E3%83%A9%E3%83%B3%E3%82%AD_1.0.zip?dl=1
蒼歌ネロ	2013/12/1	楓夜			http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/souka_nero_htsvoice.png	https://www.dropbox.com/s/1q7ayg05bv8c95x/%E8%92%BC%E6%AD%8C%E3%83%8D%E3%83%AD_1.0.zip?dl=1
緋惺	2013/12/3	元就	http://akesat0.kitunebi.com/		http://akihiro0105.web.fc2.com/Downloads/image/htsvoice/akesato_htsvoice.png	https://www.dropbox.com/s/fbr6wcaoaj6gfs5/%E7%B7%8B%E6%83%BA_1.0.zip?dl=1
